Sample,Lake,Timepoint,Time,Vol_Filtered,,,
GEODES001,Sparkling,0,5,0.35,,,
GEODES002,Sparkling,0,5,0.36,,,
GEODES003,Sparkling,0,5,0.33,,,
GEODES009,Sparkling,4,9,0.46,,,
GEODES010,Sparkling,4,9,0.32,,,
GEODES011,Sparkling,4,9,0.43,,,
GEODES014,Sparkling,8,13,0.364,,,
GEODES016,Sparkling,8,13,0.4,,,
GEODES017,Sparkling,12,17,0.29,,,
GEODES018,Sparkling,12,17,0.296,,,
GEODES019,Sparkling,12,17,0.36,,,
GEODES020,Sparkling,12,17,0.394,,,
GEODES021,Sparkling,16,21,0.43,,,
GEODES022,Sparkling,16,21,0.44,,,
GEODES023,Sparkling,16,21,0.27,,,
GEODES024,Sparkling,16,21,0.27,,,
GEODES026,Sparkling,20,1,0.35,,,
GEODES027,Sparkling,20,1,0.375,,,
GEODES028,Sparkling,20,1,0.332,,,
GEODES029,Sparkling,24,5,0.42,,,
GEODES030,Sparkling,24,5,0.44,,,
GEODES031,Sparkling,24,5,0.44,,,
GEODES032,Sparkling,24,5,0.44,,,
GEODES033,Sparkling,28,9,0.426,,,
GEODES035,Sparkling,28,9,0.46,,,
GEODES036,Sparkling,28,9,0.456,,,
GEODES037,Sparkling,32,13,0.38,,,
GEODES038,Sparkling,32,13,0.36,,,
GEODES039,Sparkling,32,13,0.4,,,
GEODES040,Sparkling,32,13,0.39,,,
GEODES041,Sparkling,36,17,0.49,,,
GEODES042,Sparkling,36,17,0.395,,,
GEODES043,Sparkling,36,17,0.42,,,
GEODES045,Sparkling,40,21,0.4,,,
GEODES046,Sparkling,40,21,0.41,,,
GEODES047,Sparkling,40,21,0.412,,,
GEODES049,Sparkling,44,1,0.296,,,
GEODES050,Sparkling,44,1,0.28,,,
GEODES051,Sparkling,44,1,0.292,,,
GEODES053,Trout,0,5,0.12,,,
GEODES054,Trout,0,5,0.155,,,
GEODES055,Trout,0,5,0.15,,,
GEODES061,Trout,4,9,0.095,,,
GEODES062,Trout,4,9,0.095,,,
GEODES063,Trout,4,9,0.095,,,
GEODES064,Trout,4,9,0.095,,,
GEODES065,Trout,8,13,0.08,,,
GEODES066,Trout,8,13,0.085,,,
GEODES067,Trout,8,13,0.085,,,
