year4,sampledate,month,daynum,avg_air_temp,flag_avg_air_temp,avg_rel_hum,flag_avg_rel_hum,avg_wind_speed,flag_avg_wind_speed,avg_wind_dir,flag_avg_wind_dir,avg_chlor,flag_chlor,avg_phycocyanin,flag_phycocyanin,avg_par,flag_par,avg_par_below,flag_par_below,avg_opt_wtemp,flag_avg_opt_wtemp,avg_opt_dosat_raw,flag_avg_opt_dosat_raw,avg_opt_do_raw,flag_avg_opt_do_raw
2016,3/22/2016 0:00,3,82,4.99,,64.32,,5.21,,179.53,,,C,1171.72,,0.14,,0.17,,4.25,,109.36,,14.24,
2016,3/22/2016 0:00,3,82,4.78,,68.86,,4.29,,166.23,,,C,1157.3,,0.14,,0.09,,4.24,,109.04,,14.2,
2016,3/22/2016 0:00,3,82,5.35,,64.29,,4.04,,177.31,,,C,1162.92,,0.06,,0.17,,4.23,,108.59,,14.15,
2016,3/22/2016 0:00,3,82,6.05,,61.33,,5.21,,194.92,,,C,1136.4,,0.09,,0.11,,4.22,,108.18,,14.1,
2016,3/22/2016 0:00,3,82,5.57,,64.43,,4.61,,207.43,,,C,1116.67,,0.09,,0.09,,4.21,,107.8,,14.05,
2016,3/22/2016 0:00,3,82,5.5,,64.55,,3.61,,202.72,,,C,1146.68,,0.14,,0.2,,4.2,,107.52,,14.02,
2016,3/22/2016 0:00,3,82,5.57,,64.7,,3.82,,201.35,,,C,1163.98,,1.87,,0.68,,4.19,,107.19,,13.98,
2016,3/22/2016 0:00,3,82,5.61,,65.09,,3.79,,202.38,,,C,1102.45,,42.64,,14.11,,4.2,,107.08,,13.96,
2016,3/22/2016 0:00,3,82,6.21,,63.74,,4.07,,207.58,,,C,1134.18,,213.3,,64.16,,4.21,,107.37,,14,
2016,3/22/2016 0:00,3,82,6.99,,61.15,,4.85,,211.51,,,C,1133.65,,362.27,,111.58,,4.22,,107.64,,14.03,
2016,3/22/2016 0:00,3,82,7.59,,59.93,,4.49,,214.76,,,C,1143.68,,587.59,,189.07,,4.24,,107.98,,14.06,
2016,3/22/2016 0:00,3,82,8.1,,60.31,,4.1,,219.91,,,C,1121.2,,772.62,,251.96,,4.28,,108.58,,14.13,
2016,3/22/2016 0:00,3,82,8.78,,59.08,,5,,209.13,,,C,1123.1,,776.31,,258.23,,4.31,,109.11,,14.19,
2016,3/22/2016 0:00,3,82,9.42,,58.4,,4.19,,223.25,,,C,1114.53,,859.69,,289.13,,4.33,,109.55,,14.23,
2016,3/22/2016 0:00,3,82,9.96,,58.07,,3.12,,233.33,,,C,1129.92,,731.54,,236.45,,4.36,,109.88,,14.27,
2016,3/22/2016 0:00,3,82,10.5,,57.69,,1.33,,204.64,,,C,1102.58,,671.06,,218.34,,4.41,,110.82,,14.37,
2016,3/22/2016 0:00,3,82,10.25,,58.42,,1.42,,87.07,,,C,1222,,355.86,,108.18,,4.5,,112.55,,14.56,
2016,3/22/2016 0:00,3,82,10.47,,58.31,,1.37,,169.2,,,C,1267.63,,186.26,,54.39,,4.53,,114.12,,14.75,
2016,3/22/2016 0:00,3,82,10.22,,60.74,,1.06,,197.33,,,C,1227.1,,48.94,,14.39,,4.5,,114.15,,14.77,
2016,3/22/2016 0:00,3,82,8.81,,68.07,,1.21,,115.49,,,C,1329.33,,2.38,,0.91,,4.49,,113.96,,14.74,
2016,3/22/2016 0:00,3,82,8.18,,73.11,,3.02,,37.1,,,C,1333.85,,0.2,,0.09,,4.45,,112.94,,14.63,
2016,3/22/2016 0:00,3,82,6.28,,81.3,,6.89,,71.12,,,C,1091.55,,0.09,,0.09,,4.33,,108.94,,14.16,
2016,3/22/2016 0:00,3,82,4.49,,86.28,,4.92,,64.76,,,C,1073.45,,0.06,,0.09,,4.29,,107.44,,13.98,
2016,3/22/2016 0:00,3,82,3.37,,88.08,,4.96,,70.73,,,C,1095.48,,0.14,,0.09,,4.27,,106.82,,13.9,
2016,3/23/2016 0:00,3,83,2.92,,88.31,,5.39,,68.35,,,C,1080.03,,0.09,,0.2,,4.26,,106.46,,13.86,
2016,3/23/2016 0:00,3,83,2.66,,89.33,,6.19,,57.31,,,C,1080.97,,0.14,,0.09,,4.26,,106.31,,13.84,
2016,3/23/2016 0:00,3,83,2.34,,90,,6.01,,78.29,,,C,1077.82,,0.09,,0.06,,4.26,,106.26,,13.83,
2016,3/23/2016 0:00,3,83,2.19,,88.56,,5.7,,89.31,,,C,1075.28,,0.17,,0.17,,4.26,,106.16,,13.82,
2016,3/23/2016 0:00,3,83,2.01,,89.2,,5.15,,76.88,,,C,1073.6,,0.06,,0.11,,4.26,,106.17,,13.82,
