Project_Name,Sample_Name,Filter_ID,Extraction_Date_Year,Extraction_Date_Month,Extraction_Date_Day,Nucleic_Acid_Type,NA_Concentration,Extraction_Buffer,Kit_Used_for_Extraction,Volume_or_Mass_Stored,spacer_3,Notes
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_0hr,GEODES113,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,300mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_0hr,GEODES114,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,340mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_0hr,GEODES115,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,200mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_0hr,GEODES116,2016,7,26,RNA,0,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,290mL,,Failed extraction
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_12hr,GEODES129,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,250mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_12hr,GEODES130,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,250mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_12hr,GEODES131,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,250mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_12hr,GEODES132,2016,11,17,RNA,0.6 ng/uL in 28 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,250mL,,Extracted
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_16hr,GEODES133,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,250mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_16hr,GEODES134,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,250mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_16hr,GEODES135,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,250mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_16hr,GEODES136,2016,11,17,RNA,0,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,250mL,,Failed extraction
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_20hr,GEODES137,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,280mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_20hr,GEODES138,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,285mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_20hr,GEODES139,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,280mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_20hr,GEODES140,2016,11,17,RNA,0,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,295mL,,Failed extraction
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_24hr,GEODES141,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,325mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_24hr,GEODES142,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,310mL,,Failed JGI QC
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_24hr,GEODES143,2016,11,17,RNA,2.6 ng/uL in 28 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,280mL,,Sequenced. Approximate volume
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_24hr,GEODES144,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,320mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_24hr,GEODES117,2016,10,13,DNA,71.4 ng/uL in 50 uL,TE Buffer,"McMahon lab phenol/chloroform protocol, using lysis method from RNA extraction protocol",150mL,,"25 uL sequenced, 25 uL remaining"
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_24hr,GEODES118,2016,10,13,DNA,120.7 ng/uL in 50 uL,TE Buffer,"McMahon lab phenol/chloroform protocol, using lysis method from RNA extraction protocol",150mL,,"25 uL sequenced, 25 uL remaining"
