"Gene","Genome","Taxonomy","Product","Cluster","Totals","Phylum"
"A023D18DRAFT_00000220_2236661009","2236661009","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","Predicted N-acetylglucosaminyl transferase",20,130532.412061609,"Actinobacteria"
"A023D18DRAFT_00001250_2236661009","2236661009","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","aspartate kinase",5,29003.138644618,"Actinobacteria"
"A023D18DRAFT_00002900_2236661009","2236661009","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","Argininosuccinate lyase",5,16006.0984763916,"Actinobacteria"
"A023D18DRAFT_00004600_2236661009","2236661009","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","ABC-type branched-chain amino acid transport systems",32,16921.7252917278,"Actinobacteria"
"A023D18DRAFT_00005430_2236661009","2236661009","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","rarD protein",17,21853.7999194697,"Actinobacteria"
"A023D18DRAFT_00006560_2236661009","2236661009","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","transcription-repair coupling factor (mfd)",20,21298.1793295198,"Actinobacteria"
"A023D18DRAFT_00006920_2236661009","2236661009","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","DNA-directed RNA polymerase",20,154983.662920727,"Actinobacteria"
"A023D18DRAFT_00007050_2236661009","2236661009","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","dihydroorotate dehydrogenase (subfamily 1) family protein",13,68779.9615584582,"Actinobacteria"
"A023L09DRAFT_00003630_2236661000","2236661000","Proteobacteria;Alphaproteobacteria;Rickettsiales;alfV;alfV-A;LD12","phosphoribosylaminoimidazole-succinocarboxamide synthase",9,46502.0138836348,"Proteobacteria"
"A023L09DRAFT_00007940_2236661000","2236661000","Proteobacteria;Alphaproteobacteria;Rickettsiales;alfV;alfV-A;LD12","YeeE/YedE family (DUF395).",8,33077.8279489524,"Proteobacteria"
"A027J17DRAFT_00003440_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","transcriptional regulator NrdR",7,21262.7956851393,"Actinobacteria"
"A027J17DRAFT_00007070_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","DNA-directed RNA polymerase",10,107502.674712669,"Actinobacteria"
"A028D10DRAFT_00002070_2236347069","2236347069","Proteobacteria;Alphaproteobacteria;Rickettsiales;alfV;alfV-A;LD12","3-oxoacyl-(acyl-carrier-protein) synthase",5,40075.3266567919,"Proteobacteria"
"A028D10DRAFT_00007670_2236347069","2236347069","Proteobacteria;Alphaproteobacteria;Rickettsiales;alfV;alfV-A;LD12","protein-export membrane protein",16,49322.09405395,"Proteobacteria"
"A028D10DRAFT_00008590_2236347069","2236347069","Proteobacteria;Alphaproteobacteria;Rickettsiales;alfV;alfV-A;LD12","Predicted Zn-dependent proteases and their inactivated homologs",18,17976.7709288864,"Proteobacteria"
"A028D10DRAFT_00008930_2236347069","2236347069","Proteobacteria;Alphaproteobacteria;Rickettsiales;alfV;alfV-A;LD12","malate dehydrogenase",20,22774.8824941151,"Proteobacteria"
"A028D10DRAFT_00009770_2236347069","2236347069","Proteobacteria;Alphaproteobacteria;Rickettsiales;alfV;alfV-A;LD12","Chromosome segregation ATPases",16,13137.1007174251,"Proteobacteria"
"A028D10DRAFT_00010170_2236347069","2236347069","Proteobacteria;Alphaproteobacteria;Rickettsiales;alfV;alfV-A;LD12","Surface lipoprotein",16,221219.832875205,"Proteobacteria"
"A028D10DRAFT_00010660_2236347069","2236347069","Proteobacteria;Alphaproteobacteria;Rickettsiales;alfV;alfV-A;LD12","monothiol glutaredoxin",3,16204.3928674241,"Proteobacteria"
"A278I18DRAFT_00002710_2236661006","2236661006","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","Ribose/xylose/arabinose/galactoside ABC-type transport systems",16,33829.2902633841,"Actinobacteria"
"A397DRAFT_00023_2264265190","2264265190","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-A;acI-A7","Predicted glutamine amidotransferase",12,17965.8104121705,"Actinobacteria"
"A397DRAFT_00122_2264265190","2264265190","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-A;acI-A7","Protein of unknown function (DUF3052).",12,15583.3637738709,"Actinobacteria"
"A397DRAFT_00147_2264265190","2264265190","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-A;acI-A7","DNA polymerase III",5,83992.2916612486,"Actinobacteria"
"A397DRAFT_00163_2264265190","2264265190","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-A;acI-A7","HAD-superfamily hydrolase",5,21507.804782833,"Actinobacteria"
"A397DRAFT_00254_2264265190","2264265190","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-A;acI-A7","phosphoribosylglycinamide formyltransferase",8,19724.1698196929,"Actinobacteria"
"A397DRAFT_00487_2264265190","2264265190","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-A;acI-A7","Uncharacterized conserved protein",4,671826.958284644,"Actinobacteria"
"A397DRAFT_00488_2264265190","2264265190","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-A;acI-A7","Uncharacterized protein",4,305392.866253429,"Actinobacteria"
"A397DRAFT_00495_2264265190","2264265190","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-A;acI-A7","Predicted dehydrogenases and related proteins",4,266471.066334808,"Actinobacteria"
"A397DRAFT_00513_2264265190","2264265190","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-A;acI-A7","Altronate dehydratase",7,41839.3879735817,"Actinobacteria"
"A397DRAFT_00587_2264265190","2264265190","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-A;acI-A7","carbamoyl-phosphate synthase",10,60607.7285220208,"Actinobacteria"
"A397DRAFT_00689_2264265190","2264265190","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-A;acI-A7","TIGR01777 family protein",1,58966.1025201864,"Actinobacteria"
