"Gene","Genome","Taxonomy","Product","Cluster","Totals"
"cds14565_124810_theta","GCF_000315625.1_Guith1_genomic","Cryptophyta,Cryptophyceae,Pyrenomonadales,Geminigeraceae,Guillardia,theta","hypothetical protein",1,21078738.3088216
"D413DRAFT_00652_2524023174","2524023174","Proteobacteria;Betaproteobacteria;Burkholderiales;betI;betI-A;Lhab-A1","DNA-directed RNA polymerase subunit beta' (EC 2.7.7.6)",3,103704019.15264
"D413DRAFT_00794_2524023174","2524023174","Proteobacteria;Betaproteobacteria;Burkholderiales;betI;betI-A;Lhab-A1","putative membrane protein insertion efficiency factor",9,3976740.16498612
"Ga0164292_100015305_GEODES117","Ga0164292_10001530","Bacteria;Cyanobacteria;unclassified Cyanobacteria;","phycoerythrin beta chain",2,101401658.762016
"Ga0164292_100572701_GEODES117","Ga0164292_10057270","Bacteria;Actinobacteria;Actinobacteria;","IPT/TIG domain-containing protein/IPT/TIG domain-containing protein/IPT/TIG domain-containing protein/IPT/TIG domain-containing protein/IPT/TIG domain-containing protein/IPT/TIG domain-containing protein",1,54127736.6265422
"Ga0164292_100691203_GEODES117","Ga0164292_10069120","Bacteria;Actinobacteria;Actinobacteria;","cysteine synthase A",7,10605071.3915894
"Ga0164292_100803781_GEODES117","Ga0164292_10080378","Bacteria;","Transposase InsO and inactivated derivatives",1,14847414.5008026
"Ga0164292_101382613_GEODES117","Ga0164292_10138261","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;","light-harvesting complex 1 beta chain",6,123905680.381331
"Ga0164292_101761501_GEODES117","Ga0164292_10176150","NO CLASSIFICATION DUE TO FEW HITS IN PHYLODIST","hypothetical protein",1,33418380.404117
"Ga0164292_101988821_GEODES117","Ga0164292_10198882","NO CLASSIFICATION MH","hypothetical protein",1,8183789.13736347
"Ga0164292_103242572_GEODES117","Ga0164292_10324257","NO CLASSIFICATION MH","hypothetical protein",1,21453734.772531
"Ga0164292_103675771_GEODES117","Ga0164292_10367577","NO CLASSIFICATION MH","tubulin beta",1,21397573.5721155
"Ga0164292_103702341_GEODES117","Ga0164292_10370234","None","IPT/TIG domain-containing protein",1,10414060.261186
"Ga0164292_104701621_GEODES117","Ga0164292_10470162","None","hypothetical protein",8,191093506.65638
"Ga0164292_106619671_GEODES117","Ga0164292_10661967","None","hypothetical protein",1,43150752.6119484
"Ga0164292_110327101_GEODES117","Ga0164292_11032710","None","hypothetical protein",8,19712309.6580278
"Ga0164292_112204311_GEODES117","Ga0164292_11220431","None","hypothetical protein",1,8996463.57013377
"Ga0164292_115312861_GEODES117","Ga0164292_11531286","None","hypothetical protein",1,9850777.58425962
"Ga0164292_115473741_GEODES117","Ga0164292_11547374","NO CLASSIFICATION MH","hypothetical protein",1,979459929.20112
"Ga0164292_118446951_GEODES117","Ga0164292_11844695","NO CLASSIFICATION MH","basic membrane protein A",1,29437007.9883037
"Ga0164292_123573891_GEODES117","Ga0164292_12357389","NO CLASSIFICATION MH","hypothetical protein",1,33853717.3748639
"Ga0164293_100293221_GEODES118","Ga0164293_10029322","Bacteria;Actinobacteria;Actinobacteria;unclassified Actinobacteria;unclassified Actinobacteria;unclassified Actinobacteria;","glucose/mannose transport system substrate-binding protein",1,25901045.8730224
"Ga0164293_100448175_GEODES118","Ga0164293_10044817","Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;","large subunit ribosomal protein L19",1,26777421.7332428
"Ga0164293_100892291_GEODES118","Ga0164293_10089229","Bacteria;","hypothetical protein",1,9656568.01149764
"Ga0164293_101472091_GEODES118","Ga0164293_10147209","Bacteria;","tubulin beta",1,9605046.89422477
"Ga0164293_101755091_GEODES118","Ga0164293_10175509","NO CLASSIFICATION DUE TO FEW HITS IN PHYLODIST","tubulin beta",1,35405205.9043015
"Ga0164293_102097641_GEODES118","Ga0164293_10209764","Bacteria;Proteobacteria;","Trefoil (P-type) domain-containing protein/Beta-propeller repeat-containing protein",1,6198211.96861787
"Ga0164293_102515621_GEODES118","Ga0164293_10251562","Bacteria;Cyanobacteria;","KDEL-tailed cysteine endopeptidase",1,19701413.9914315
"Ga0164293_102533721_GEODES118","Ga0164293_10253372","Bacteria;Cyanobacteria;","tubulin alpha",1,31103260.918102
"Ga0164293_102589791_GEODES118","Ga0164293_10258979","Bacteria;Actinobacteria;Actinobacteria;","ATP-binding cassette, subfamily A (ABC1), member 2",8,19890482.727072
"Ga0164293_102806451_GEODES118","Ga0164293_10280645","NO CLASSIFICATION MH","GCC2 and GCC3 domain-containing protein",1,51272311.2352619
"Ga0164293_102880851_GEODES118","Ga0164293_10288085","Bacteria;Actinobacteria;Actinobacteria;","hypothetical protein",1,7471119.4974473
"Ga0164293_102888491_GEODES118","Ga0164293_10288849","NO CLASSIFICATION MH","S-adenosylhomocysteine hydrolase",5,4038405.82901895
"Ga0164293_103385931_GEODES118","Ga0164293_10338593","Bacteria;","Phenol hydroxylase P1 protein",1,5305308.6591009
"Ga0164293_103518841_GEODES118","Ga0164293_10351884","Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Labilitrichaceae;","Acyl-CoA dehydrogenase",10,15147207.4059137
